college_name,college_type,financial_aid,major,roi,total_cost
Michigan State University(In-State),instate,,art,189000,103000
University of Wisconsin-Madison(In-State),instate,,art,189000,98200
Ramapo College of New Jersey(In-State),instate,,art,188000,119000
Towson University(In-State),instate,,art,188000,96900
University of Oklahoma-Norman Campus(In-State),instate,,art,186000,99900
Emerson College(Private),private,,art,185000,232000
Indiana University-Bloomington(In-State),instate,,art,185000,97600
University of Dayton(Private),private,,art,185000,211000
University of Minnesota-Twin Cities(Out-of-State),outofstate,,art,185000,136000
Frostburg State University(Out-of-State),outofstate,,art,184000,128000
Howard University(Private),private,,art,184000,169000
Sonoma State University(In-State),instate,,art,184000,96800
University of Missouri-Columbia(In-State),instate,,art,184000,96600
CUNY City College(In-State),instate,,art,183000,111000
Rutgers University-New Brunswick(Out-of-State),outofstate,,art,182000,181000
Saint Cloud State University(In-State),instate,,art,182000,77700
Western Washington University(Out-of-State),outofstate,,art,182000,140000
Northern Illinois University(In-State),instate,,art,181000,115000
University of Oregon(In-State),instate,,art,180000,99700
University of Wisconsin-Stout(In-State),instate,,art,180000,76600
Eastern Illinois University(In-State),instate,,art,179000,95600
University of California-San Diego(Out-of-State),outofstate,,art,179000,223000
University of North Texas(In-State),instate,,art,179000,86400
Catholic University of America(Private),private,,art,178000,233000
Kean University(Out-of-State),outofstate,,art,177000,138000
Rowan University(In-State),instate,,art,176000,113000
Minneapolis College of Art and Design(Private),private,,art,175000,184000
Suffolk University(Private),private,,art,174000,207000
University of Wisconsin-Eau Claire(In-State),instate,,art,174000,77200
University of Bridgeport(Private),private,,art,173000,207000
University of Maine(In-State),instate,,art,173000,94200
State University of New York at New Paltz(In-State),instate,,art,172000,89800
University of California-Santa Barbara(Out-of-State),outofstate,,art,172000,236000
University of Idaho(In-State),instate,,art,172000,80200
Arizona State University-Tempe(Out-of-State),outofstate,,art,171000,160000
University of Iowa(In-State),instate,,art,171000,84400
University of Massachusetts-Dartmouth(In-State),instate,,art,171000,107000
Florida Agricultural and Mechanical University(In-State),instate,,art,170000,81900
Montclair State University(Out-of-State),outofstate,,art,170000,149000
Abilene Christian University(Private),private,,art,169000,176000
Plymouth State University(In-State),instate,,art,168000,109000
Wayne State University(In-State),instate,,art,167000,97900
Georgia State University(In-State),instate,,art,166000,103000
Iowa State University(Out-of-State),outofstate,,art,166000,129000
University of California-Riverside(In-State),instate,,art,166000,133000
Marymount Manhattan College(Private),private,,art,165000,206000
North Dakota State University-Main Campus(In-State),instate,,art,165000,80400
West Virginia University(In-State),instate,,art,164000,80500
Point Loma Nazarene University(Private),private,,art,163000,186000
Texas Tech University(In-State),instate,,art,162000,89700
Lesley University(Private),private,,art,161000,180000
The University of Texas at Austin(Out-of-State),outofstate,,art,161000,203000
University of North Carolina at Chapel Hill(Out-of-State),outofstate,,art,161000,196000
Oregon State University(In-State),instate,,art,160000,101000
Milwaukee Institute of Art & Design(Private),private,,art,159000,180000
Auburn University(In-State),instate,,art,158000,115000
Central Connecticut State University(Out-of-State),outofstate,,art,158000,146000
Ferris State University(In-State),instate,,art,158000,89600
Central Washington University(In-State),instate,,art,157000,90500
University at Buffalo(In-State),instate,,art,157000,99400
University of Houston(In-State),instate,,art,157000,94000
Western Michigan University(In-State),instate,,art,157000,93000
Western Illinois University(In-State),instate,,art,156000,101000
CUNY City College(Out-of-State),outofstate,,art,155000,138000
Keene State College(In-State),instate,,art,155000,103000
SUNY Oneonta(In-State),instate,,art,155000,90600
Oklahoma Christian University(Private),private,,art,154000,125000
SUNY at Albany(Out-of-State),outofstate,,art,154000,145000
West Chester University of Pennsylvania(In-State),instate,,art,154000,104000
Marymount University(Private),private,,art,152000,177000
Ramapo College of New Jersey(Out-of-State),outofstate,,art,152000,154000
Saint Cloud State University(Out-of-State),outofstate,,art,151000,109000
Baylor University(Private),private,,art,150000,224000
New Jersey City University(In-State),instate,,art,150000,111000
Ohio University-Main Campus(In-State),instate,,art,150000,102000
University of Connecticut(Out-of-State),outofstate,,art,150000,197000
University of Hartford(Private),private,,art,150000,201000
San Francisco Art Institute(Private),private,,art,149000,251000
University of Rhode Island(In-State),instate,,art,149000,111000
University of Wisconsin-Stout(Out-of-State),outofstate,,art,149000,108000
Endicott College(Private),private,,art,148000,189000
University of Missouri-Kansas City(In-State),instate,,art,148000,98200
Ohio State University-Main Campus(Out-of-State),outofstate,,art,147000,170000
University of North Carolina School of the Arts(Out-of-State),outofstate,,art,146000,150000
Mount Mary University(Private),private,,art,145000,163000
University of Georgia(Out-of-State),outofstate,,art,145000,169000
University of Maryland-Baltimore County(Out-of-State),outofstate,,art,145000,153000
Rowan University(Out-of-State),outofstate,,art,144000,145000
Northern Illinois University(Out-of-State),outofstate,,art,143000,152000
University of Wisconsin-Eau Claire(Out-of-State),outofstate,,art,143000,107000
Wheaton College (Massachusetts)(Private),private,,art,143000,244000
Indiana University-Purdue University-Indianapolis(In-State),instate,,art,142000,88200
Maryland Institute College of Art(Private),private,,art,142000,232000
University of Denver(Private),private,,art,142000,236000
University of North Texas(Out-of-State),outofstate,,art,142000,123000
Eastern Illinois University(Out-of-State),outofstate,,art,141000,134000
Northern Michigan University(In-State),instate,,art,141000,84600
Portland State University(In-State),instate,,art,141000,94700
Towson University(Out-of-State),outofstate,,art,141000,144000
Colorado State University-Fort Collins(Out-of-State),outofstate,,art,140000,162000
Sonoma State University(Out-of-State),outofstate,,art,139000,141000
University of Nevada-Las Vegas(In-State),instate,,art,139000,89700
University of Utah(Out-of-State),outofstate,,art,139000,159000
Western Illinois University(Out-of-State),outofstate,,art,139000,118000
Cornish College of the Arts(Private),private,,art,138000,207000
University of Florida(Out-of-State),outofstate,,art,137000,171000
University of Hawaii at Manoa(In-State),instate,,art,137000,107000
California State University-Los Angeles(In-State),instate,,art,136000,93100
Columbus College of Art and Design(Private),private,,art,136000,179000
Plymouth State University(Out-of-State),outofstate,,art,136000,141000
University of Kansas(Out-of-State),outofstate,,art,135000,158000
Carleton College(Private),private,,art,134000,254000
Louisiana State University and Agricultural & Mechanical College(In-State),instate,,art,134000,102000
Ferris State University(Out-of-State),outofstate,,art,133000,115000
New Mexico State University-Main Campus(In-State),instate,,art,133000,75600
State University of New York at New Paltz(Out-of-State),outofstate,,art,133000,129000
The College of Saint Rose(Private),private,,art,133000,177000
The University of Alabama(In-State),instate,,art,133000,111000
University of Northern Colorado(In-State),instate,,art,133000,88400
University of Oklahoma-Norman Campus(Out-of-State),outofstate,,art,133000,153000
Louisiana Tech University(In-State),instate,,art,131000,76400
Miami University-Oxford(Out-of-State),outofstate,,art,131000,185000
Middle Tennessee State University(In-State),instate,,art,130000,86300
University of Mississippi(In-State),instate,,art,130000,92100
Oklahoma State University-Main Campus(In-State),instate,,art,129000,89000
University of Massachusetts-Amherst(Out-of-State),outofstate,,art,129000,174000
LIU Post(Private),private,,art,128000,210000
University of North Carolina at Greensboro(In-State),instate,,art,127000,77600
Texas Tech University(Out-of-State),outofstate,,art,126000,126000
Columbia College-Chicago(Private),private,,art,125000,167000
University of Alabama at Birmingham(In-State),instate,,art,125000,97400
SUNY College at Potsdam(In-State),instate,,art,124000,89400
The University of Tennessee-Knoxville(In-State),instate,,art,124000,117000
Keene State College(Out-of-State),outofstate,,art,123000,134000
Bemidji State University(In-State),instate,,art,122000,78300
Bemidji State University(Out-of-State),outofstate,,art,122000,78300
Central Michigan University(In-State),instate,,art,122000,90900
Florida Agricultural and Mechanical University(Out-of-State),outofstate,,art,122000,130000
Tulane University of Louisiana(Private),private,,art,122000,256000
University of Missouri-Columbia(Out-of-State),outofstate,,art,122000,158000
Washington State University(In-State),instate,,art,122000,111000
North Dakota State University-Main Campus(Out-of-State),outofstate,,art,121000,125000
Purdue University-Main Campus(Out-of-State),outofstate,,art,121000,168000
Northern Michigan University(Out-of-State),outofstate,,art,120000,106000
Shepherd University(In-State),instate,,art,120000,80200
Smith College(Private),private,,art,120000,254000
Texas A & M University-Commerce(In-State),instate,,art,120000,72800
University of Vermont(Out-of-State),outofstate,,art,120000,210000
Augsburg College(Private),private,,art,119000,191000
Azusa Pacific University(Private),private,,art,119000,192000
Boise State University(In-State),instate,,art,119000,80500
University of California-Irvine(Out-of-State),outofstate,,art,119000,224000
Pepperdine University(Private),private,,art,118000,259000
Texas State University(In-State),instate,,art,118000,83300
University of Arizona(In-State),instate,,art,118000,103000
University of Massachusetts-Dartmouth(Out-of-State),outofstate,,art,118000,160000
Woodbury University(Private),private,,art,118000,205000
Calvin College(Private),private,,art,117000,173000
University of Central Florida(In-State),instate,,art,117000,86200
University of Idaho(Out-of-State),outofstate,,art,117000,136000
University of North Carolina at Charlotte(In-State),instate,,art,117000,82300
California State University-Fresno(In-State),instate,,art,116000,80800
SUNY Oneonta(Out-of-State),outofstate,,art,116000,129000
New Jersey City University(Out-of-State),outofstate,,art,115000,145000
Stephen F Austin State University(In-State),instate,,art,115000,89100
University of Wisconsin-Madison(Out-of-State),outofstate,,art,115000,172000
Millersville University of Pennsylvania(In-State),instate,,art,114000,101000
Stony Brook University(In-State),instate,,art,114000,93300
University of New Orleans(In-State),instate,,art,114000,85700
Wayne State University(Out-of-State),outofstate,,art,114000,151000
Ohio University-Main Campus(Out-of-State),outofstate,,art,113000,139000
University of Houston(Out-of-State),outofstate,,art,113000,137000
The University of Texas at Arlington(In-State),instate,,art,112000,91900
West Chester University of Pennsylvania(Out-of-State),outofstate,,art,112000,146000
Kenyon College(Private),private,,art,110000,253000
West Virginia University(Out-of-State),outofstate,,art,110000,135000
Georgia State University(Out-of-State),outofstate,,art,108000,162000
Savannah College of Art and Design(Private),private,,art,108000,212000
University of Wyoming(In-State),instate,,art,108000,75600
Virginia Commonwealth University(In-State),instate,,art,108000,118000
School of the Art Institute of Chicago(Private),private,,art,107000,241000
Central Washington University(Out-of-State),outofstate,,art,106000,141000
Southern Illinois University-Carbondale(In-State),instate,,art,106000,106000
Florida Atlantic University(In-State),instate,,art,105000,88400
University of Nebraska-Lincoln(In-State),instate,,art,105000,92700
Illinois State University(In-State),instate,,art,104000,109000
Radford University(In-State),instate,,art,104000,86600
University of Missouri-Kansas City(Out-of-State),outofstate,,art,103000,143000
University of New Hampshire-Main Campus(In-State),instate,,art,103000,125000
Bradley University(Private),private,,art,102000,176000
East Tennessee State University(In-State),instate,,art,102000,93500
Kent State University at Kent(In-State),instate,,art,102000,101000
Mount Ida College(Private),private,,art,102000,189000
University of Colorado Boulder(Out-of-State),outofstate,,art,102000,210000
University of Maine(Out-of-State),outofstate,,art,101000,167000
Michigan State University(Out-of-State),outofstate,,art,99900,193000
Winthrop University(In-State),instate,,art,99800,106000
Harding University(Private),private,,art,99500,112000
University at Buffalo(Out-of-State),outofstate,,art,99000,157000
Western Michigan University(Out-of-State),outofstate,,art,99000,151000
Eastern Kentucky University(In-State),instate,,art,98700,80200
Southeast Missouri State University(In-State),instate,,art,97700,79700
Northern Arizona University(In-State),instate,,art,97000,99400
Roger Williams University(Private),private,,art,96200,201000
SUNY College at Oswego(In-State),instate,,art,96200,91100
University of Oregon(Out-of-State),outofstate,,art,94700,185000
Northern Kentucky University(In-State),instate,,art,94400,82900
Appalachian State University(In-State),instate,,art,92900,75800
University of Iowa(Out-of-State),outofstate,,art,92500,163000
Indiana University-Bloomington(Out-of-State),outofstate,,art,92300,190000
Drake University(Private),private,,art,92200,189000
Fordham University(Private),private,,art,92100,266000
California State University-Los Angeles(Out-of-State),outofstate,,art,91700,138000
Florida International University(In-State),instate,,art,91700,92800
Bridgewater State University(In-State),instate,,art,91500,95700
Kutztown University of Pennsylvania(In-State),instate,,art,91500,95100
University of New Mexico-Main Campus(In-State),instate,,art,91500,82800
Oregon State University(Out-of-State),outofstate,,art,90700,170000
