college_name,college_type,financial_aid,major,roi,total_cost
SUNY College of Technology at Alfred(Out-of-State),outofstate,,engineering,525000,122000
Pennsylvania College of Technology(Out-of-State),outofstate,,engineering,520000,150000
Roger Williams University(Private),private,,engineering,518000,201000
Middle Tennessee State University(Out-of-State),outofstate,,engineering,516000,152000
Vermont Technical College(In-State),instate,,engineering,509000,102000
SUNY Polytechnic Institute(Out-of-State),outofstate,,engineering,507000,133000
Vermont Technical College(Out-of-State),outofstate,,engineering,465000,147000
University of Colorado Denver/Anschutz Medical Campus(Out-of-State),outofstate,,engineering,N/A,N/A
University of Colorado Denver/Anschutz Medical Campus(In-State),instate,,engineering,N/A,N/A
Embry-Riddle Aeronautical University-Worldwide(Private),private,,engineering,N/A,N/A
Polytechnic University of Puerto Rico-Miami(Private),private,,engineering,N/A,N/A
Polytechnic University of Puerto Rico-Orlando(Private),private,,engineering,N/A,N/A
Universidad Metropolitana(Private),private,,engineering,N/A,N/A
University of Puerto Rico-Mayaguez(In-State),instate,,engineering,N/A,N/A
University of Puerto Rico-Mayaguez(Out-of-State),outofstate,,engineering,N/A,N/A
New England Institute of Technology(Private),private,,engineering,N/A,N/A
University of Michigan-Dearborn(Out-of-State),outofstate,,engineering,N/A,N/A
University of Michigan-Dearborn(In-State),instate,,engineering,N/A,N/A
Thomas Edison State University(Out-of-State),outofstate,,engineering,N/A,N/A
Thomas Edison State University(In-State),instate,,engineering,N/A,N/A
University of California-Berkeley(In-State),instate,,engineering,1188000,139000
United States Military Academy(Service Academy),service academy,,engineering,1117000,0
United States Naval Academy(Service Academy),service academy,,engineering,1108000,0
University of California-Berkeley(Out-of-State),outofstate,,engineering,1091000,236000
Lamar University(In-State),instate,,engineering,1082000,85700
United States Merchant Marine Academy(Service Academy),service academy,,engineering,1066000,34900
McNeese State University(In-State),instate,,engineering,1059000,77100
Columbia University in the City of New York(Private),private,,engineering,1057000,272000
Massachusetts Institute of Technology(Private),private,,engineering,1053000,249000
University of Alaska Fairbanks(In-State),instate,,engineering,1050000,70500
Lamar University(Out-of-State),outofstate,,engineering,1046000,122000
University of California-San Diego(In-State),instate,,engineering,1033000,125000
Stanford University(Private),private,,engineering,1028000,255000
SUNY Maritime College(In-State),instate,,engineering,1018000,95300
McNeese State University(Out-of-State),outofstate,,engineering,1015000,121000
George Mason University(In-State),instate,,engineering,1012000,106000
United States Air Force Academy(Service Academy),service academy,,engineering,1012000,0
The University of Texas at Austin(In-State),instate,,engineering,1010000,104000
The California Maritime Academy(In-State),instate,,engineering,1008000,87700
San Jose State University(In-State),instate,,engineering,1005000,102000
University of Alaska Fairbanks(Out-of-State),outofstate,,engineering,1004000,116000
Massachusetts Maritime Academy(In-State),instate,,engineering,1000000,92200
Maine Maritime Academy(In-State),instate,,engineering,999000,103000
Princeton University(Private),private,,engineering,998000,240000
Rice University(Private),private,,engineering,997000,229000
University of Houston(In-State),instate,,engineering,996000,94000
University of California-Los Angeles(In-State),instate,,engineering,988000,133000
SUNY Maritime College(Out-of-State),outofstate,,engineering,979000,134000
Texas A & M University-College Station(In-State),instate,,engineering,979000,97100
University of California-Santa Cruz(In-State),instate,,engineering,979000,138000
Harvard University(Private),private,,engineering,976000,254000
California Polytechnic State University-San Luis Obispo(In-State),instate,,engineering,974000,100000
Cornell University(Private),private,,engineering,974000,258000
University of California-Santa Barbara(In-State),instate,,engineering,970000,139000
Louisiana State University and Agricultural & Mechanical College(In-State),instate,,engineering,969000,102000
Texas Tech University(In-State),instate,,engineering,969000,89700
University of Oklahoma-Norman Campus(In-State),instate,,engineering,967000,99900
University of Virginia-Main Campus(In-State),instate,,engineering,965000,114000
The California Maritime Academy(Out-of-State),outofstate,,engineering,963000,132000
San Jose State University(Out-of-State),outofstate,,engineering,961000,147000
Louisiana Tech University(In-State),instate,,engineering,960000,76400
University of Houston(Out-of-State),outofstate,,engineering,953000,137000
Maine Maritime Academy(Out-of-State),outofstate,,engineering,951000,152000
University of Washington-Seattle Campus(In-State),instate,,engineering,951000,107000
California Institute of Technology(Private),private,,engineering,949000,250000
Brigham Young University-Provo(Private),private,,engineering,948000,71100
University of Louisiana at Lafayette(In-State),instate,,engineering,944000,84700
University of Maryland-College Park(In-State),instate,,engineering,944000,99300
Massachusetts Maritime Academy(Out-of-State),outofstate,,engineering,937000,155000
University of California-San Diego(Out-of-State),outofstate,,engineering,936000,223000
Texas Tech University(Out-of-State),outofstate,,engineering,933000,126000
George Mason University(Out-of-State),outofstate,,engineering,932000,187000
California Polytechnic State University-San Luis Obispo(Out-of-State),outofstate,,engineering,930000,145000
Duke University(Private),private,,engineering,928000,262000
Montana Tech of the University of Montana(In-State),instate,,engineering,924000,77400
University of Illinois at Urbana-Champaign(In-State),instate,,engineering,924000,118000
Colorado School of Mines(In-State),instate,,engineering,918000,126000
Webb Institute(Private),private,,engineering,916000,257000
University of Michigan-Ann Arbor(In-State),instate,,engineering,914000,110000
University of Oklahoma-Norman Campus(Out-of-State),outofstate,,engineering,914000,153000
The University of Texas at Austin(Out-of-State),outofstate,,engineering,910000,203000
Harvey Mudd College(Private),private,,engineering,908000,272000
Texas A & M University-College Station(Out-of-State),outofstate,,engineering,907000,169000
University of San Diego(Private),private,,engineering,904000,243000
University of California-Davis(In-State),instate,,engineering,903000,136000
University of South Alabama(In-State),instate,,engineering,902000,80600
Louisiana Tech University(Out-of-State),outofstate,,engineering,901000,136000
Carnegie Mellon University(Private),private,,engineering,899000,260000
Louisiana State University and Agricultural & Mechanical College(Out-of-State),outofstate,,engineering,899000,172000
Georgia Institute of Technology-Main Campus(In-State),instate,,engineering,898000,101000
University of Louisiana at Lafayette(Out-of-State),outofstate,,engineering,894000,134000
Purdue University-Main Campus(In-State),instate,,engineering,891000,92300
University of California-Los Angeles(Out-of-State),outofstate,,engineering,891000,230000
Northwestern University(Private),private,,engineering,890000,267000
Johns Hopkins University(Private),private,,engineering,887000,258000
University of Connecticut(In-State),instate,,engineering,884000,115000
The University of Texas at Dallas(In-State),instate,,engineering,883000,102000
Virginia Polytechnic Institute and State University(In-State),instate,,engineering,883000,103000
University of California-Santa Cruz(Out-of-State),outofstate,,engineering,881000,235000
University of Tulsa(Private),private,,engineering,879000,217000
University of Massachusetts-Amherst(In-State),instate,,engineering,877000,110000
University of South Alabama(Out-of-State),outofstate,,engineering,874000,108000
Montana Tech of the University of Montana(Out-of-State),outofstate,,engineering,872000,129000
University of California-Santa Barbara(Out-of-State),outofstate,,engineering,872000,236000
University of Massachusetts-Lowell(In-State),instate,,engineering,871000,108000
Cooper Union for the Advancement of Science and Art(Private),private,,engineering,868000,247000
University of Pennsylvania(Private),private,,engineering,868000,262000
Capitol Technology University(Private),private,,engineering,866000,144000
University of Illinois at Urbana-Champaign(Out-of-State),outofstate,,engineering,864000,178000
University of Washington-Seattle Campus(Out-of-State),outofstate,,engineering,864000,194000
Prairie View A & M University(In-State),instate,,engineering,863000,83300
New Mexico State University-Main Campus(In-State),instate,,engineering,862000,75600
Gannon University(Private),private,,engineering,861000,175000
University of Maryland-College Park(Out-of-State),outofstate,,engineering,861000,182000
University of New Orleans(In-State),instate,,engineering,859000,85700
Texas A & M University-Kingsville(In-State),instate,,engineering,858000,86100
California State Polytechnic University-Pomona(In-State),instate,,engineering,852000,98300
University of Arizona(In-State),instate,,engineering,851000,103000
Colorado School of Mines(Out-of-State),outofstate,,engineering,850000,195000
University of Virginia-Main Campus(Out-of-State),outofstate,,engineering,850000,229000
University of Delaware(In-State),instate,,engineering,849000,106000
The University of Texas at Arlington(In-State),instate,,engineering,847000,91900
University of California-Irvine(In-State),instate,,engineering,845000,127000
University of the Pacific(Private),private,,engineering,844000,239000
Rutgers University-New Brunswick(In-State),instate,,engineering,843000,121000
University of Maryland-Baltimore County(In-State),instate,,engineering,843000,103000
Seattle University(Private),private,,engineering,841000,222000
University of Florida(In-State),instate,,engineering,836000,81600
Olivet Nazarene University(Private),private,,engineering,833000,174000
University of Utah(In-State),instate,,engineering,833000,89300
Arizona State University-Tempe(In-State),instate,,engineering,832000,100000
New Mexico Institute of Mining and Technology(In-State),instate,,engineering,831000,79100
California State University-Northridge(In-State),instate,,engineering,829000,85400
Stony Brook University(In-State),instate,,engineering,828000,93300
Oklahoma State University-Main Campus(In-State),instate,,engineering,827000,89000
University of Minnesota-Twin Cities(In-State),instate,,engineering,826000,104000
University of Wisconsin-Madison(In-State),instate,,engineering,826000,98200
Georgia Institute of Technology-Main Campus(Out-of-State),outofstate,,engineering,819000,180000
Northeastern University(Private),private,,engineering,818000,247000
The University of Texas at Dallas(Out-of-State),outofstate,,engineering,818000,167000
California State University-Sacramento(In-State),instate,,engineering,817000,95700
Prairie View A & M University(Out-of-State),outofstate,,engineering,817000,129000
San Diego State University(In-State),instate,,engineering,817000,105000
Virginia Polytechnic Institute and State University(Out-of-State),outofstate,,engineering,817000,168000
Purdue University-Main Campus(Out-of-State),outofstate,,engineering,816000,168000
Iowa State University(In-State),instate,,engineering,814000,77200
Oakland University(In-State),instate,,engineering,814000,91700
University of Massachusetts-Amherst(Out-of-State),outofstate,,engineering,814000,174000
Manhattan College(Private),private,,engineering,813000,221000
Texas A & M University-Kingsville(Out-of-State),outofstate,,engineering,810000,134000
Ohio State University-Main Campus(In-State),instate,,engineering,809000,103000
Tufts University(Private),private,,engineering,809000,258000
University of Alabama in Huntsville(In-State),instate,,engineering,809000,96200
University of Massachusetts-Lowell(Out-of-State),outofstate,,engineering,809000,169000
California State Polytechnic University-Pomona(Out-of-State),outofstate,,engineering,808000,143000
Grove City College(Private),private,,engineering,808000,105000
New Mexico State University-Main Campus(Out-of-State),outofstate,,engineering,808000,129000
The University of Texas at Arlington(Out-of-State),outofstate,,engineering,806000,133000
University of California-Davis(Out-of-State),outofstate,,engineering,806000,233000
University of California-Riverside(In-State),instate,,engineering,806000,133000
John Brown University(Private),private,,engineering,805000,145000
University of Iowa(In-State),instate,,engineering,805000,84400
University of New Orleans(Out-of-State),outofstate,,engineering,805000,139000
Wichita State University(In-State),instate,,engineering,805000,83100
Stevens Institute of Technology(Private),private,,engineering,802000,250000
California State University-Chico(In-State),instate,,engineering,801000,92100
Indiana University-Purdue University-Indianapolis(In-State),instate,,engineering,801000,88200
University of Connecticut(Out-of-State),outofstate,,engineering,801000,197000
Brown University(Private),private,,engineering,800000,257000
University of Michigan-Ann Arbor(Out-of-State),outofstate,,engineering,798000,226000
University of Wyoming(In-State),instate,,engineering,797000,75600
West Virginia University(In-State),instate,,engineering,797000,80500
Kansas State University(In-State),instate,,engineering,795000,89900
Michigan State University(In-State),instate,,engineering,795000,103000
Santa Clara University(Private),private,,engineering,795000,251000
University of Minnesota-Twin Cities(Out-of-State),outofstate,,engineering,795000,136000
University of Pittsburgh-Pittsburgh Campus(In-State),instate,,engineering,795000,130000
Missouri University of Science and Technology(In-State),instate,,engineering,793000,87300
University of Maryland-Baltimore County(Out-of-State),outofstate,,engineering,793000,153000
Saginaw Valley State University(In-State),instate,,engineering,792000,80100
Seattle Pacific University(Private),private,,engineering,792000,204000
University of Missouri-Columbia(In-State),instate,,engineering,792000,96600
Alabama A & M University(In-State),instate,,engineering,790000,88500
Swarthmore College(Private),private,,engineering,790000,254000
The University of West Florida(In-State),instate,,engineering,790000,78600
Villanova University(Private),private,,engineering,790000,248000
New York University(Private),private,,engineering,789000,268000
University of Minnesota-Duluth(In-State),instate,,engineering,789000,94700
Washington State University(In-State),instate,,engineering,789000,111000
University of Missouri-Kansas City(In-State),instate,,engineering,788000,98200
Western Washington University(In-State),instate,,engineering,788000,91800
University of Kansas(In-State),instate,,engineering,787000,95700
Oregon State University(In-State),instate,,engineering,786000,101000
California State University-Long Beach(In-State),instate,,engineering,785000,91400
Boston University(Private),private,,engineering,784000,259000
California State University-Northridge(Out-of-State),outofstate,,engineering,784000,130000
University of Southern California(Private),private,,engineering,784000,264000
Rutgers University-New Brunswick(Out-of-State),outofstate,,engineering,783000,181000
Saint Cloud State University(In-State),instate,,engineering,783000,77700
University of Nebraska-Lincoln(In-State),instate,,engineering,783000,92700
University of New Mexico-Main Campus(In-State),instate,,engineering,783000,82800
New Mexico Institute of Mining and Technology(Out-of-State),outofstate,,engineering,782000,128000
Tulane University of Louisiana(Private),private,,engineering,782000,256000
Virginia Commonwealth University(In-State),instate,,engineering,782000,118000
University of Cincinnati-Main Campus(In-State),instate,,engineering,781000,111000
Bucknell University(Private),private,,engineering,780000,257000
Northern Illinois University(In-State),instate,,engineering,780000,115000
University of Illinois at Chicago(In-State),instate,,engineering,780000,118000
Oklahoma Christian University(Private),private,,engineering,779000,125000
Worcester Polytechnic Institute(Private),private,,engineering,778000,242000
New Jersey Institute of Technology(In-State),instate,,engineering,777000,135000
University of Colorado Boulder(In-State),instate,,engineering,777000,120000
Rensselaer Polytechnic Institute(Private),private,,engineering,776000,260000
University of Delaware(Out-of-State),outofstate,,engineering,775000,180000
University of Notre Dame(Private),private,,engineering,775000,254000
Oklahoma State University-Main Campus(Out-of-State),outofstate,,engineering,774000,141000
University of Minnesota-Duluth(Out-of-State),outofstate,,engineering,774000,110000
Weber State University(In-State),instate,,engineering,774000,74400
Arizona State University-Tempe(Out-of-State),outofstate,,engineering,773000,160000
SUNY at Binghamton(In-State),instate,,engineering,773000,95600
San Diego State University(Out-of-State),outofstate,,engineering,773000,150000
University of North Dakota(In-State),instate,,engineering,773000,82700
California State University-Sacramento(Out-of-State),outofstate,,engineering,772000,140000
Marquette University(Private),private,,engineering,772000,204000
Virginia Military Institute(In-State),instate,,engineering,772000,111000
Wichita State University(Out-of-State),outofstate,,engineering,772000,116000
Arkansas State University-Main Campus(In-State),instate,,engineering,771000,85200
Stony Brook University(Out-of-State),outofstate,,engineering,771000,151000
University of Arizona(Out-of-State),outofstate,,engineering,771000,183000
The University of Alabama(In-State),instate,,engineering,770000,111000
Bradley University(Private),private,,engineering,768000,176000
The College of New Jersey(In-State),instate,,engineering,768000,127000
Vanderbilt University(Private),private,,engineering,768000,252000
Wayne State University(In-State),instate,,engineering,768000,97900
Central Michigan University(In-State),instate,,engineering,767000,90900
Eastern Michigan University(In-State),instate,,engineering,767000,88400
Montana State University(In-State),instate,,engineering,767000,79800
Colorado State University-Fort Collins(In-State),instate,,engineering,766000,95300
Pittsburg State University(In-State),instate,,engineering,764000,72900
Oakland University(Out-of-State),outofstate,,engineering,763000,143000
University of Utah(Out-of-State),outofstate,,engineering,763000,159000
Cedarville University(Private),private,,engineering,762000,145000
Iowa State University(Out-of-State),outofstate,,engineering,762000,129000
Purdue University-Calumet Campus(In-State),instate,,engineering,762000,86500
University of Alabama in Huntsville(Out-of-State),outofstate,,engineering,762000,143000
University of Idaho(In-State),instate,,engineering,762000,80200
Alabama A & M University(Out-of-State),outofstate,,engineering,761000,118000
Clemson University(In-State),instate,,engineering,759000,114000
University of Rhode Island(In-State),instate,,engineering,758000,111000
Kettering University(Private),private,,engineering,757000,215000
Temple University(In-State),instate,,engineering,757000,125000
The University of Tennessee-Knoxville(In-State),instate,,engineering,757000,117000
California State University-Chico(Out-of-State),outofstate,,engineering,756000,137000
Florida State University(In-State),instate,,engineering,756000,87800
University of Wyoming(Out-of-State),outofstate,,engineering,756000,117000
Pennsylvania State University-Main Campus(In-State),instate,,engineering,755000,139000
Tennessee State University(In-State),instate,,engineering,755000,76400
University of Central Florida(In-State),instate,,engineering,754000,86200
North Carolina State University at Raleigh(In-State),instate,,engineering,753000,90600
Northern Arizona University(In-State),instate,,engineering,753000,99400
Portland State University(In-State),instate,,engineering,753000,94700
University of Pittsburgh-Pittsburgh Campus(Out-of-State),outofstate,,engineering,753000,172000
Saint Cloud State University(Out-of-State),outofstate,,engineering,752000,109000
University of Wisconsin-Madison(Out-of-State),outofstate,,engineering,752000,172000
Rose-Hulman Institute of Technology(Private),private,,engineering,751000,239000
Southern University and A & M College(In-State),instate,,engineering,751000,80700
University of Louisville(In-State),instate,,engineering,751000,98400
Winona State University(In-State),instate,,engineering,751000,84900
Auburn University(In-State),instate,,engineering,750000,115000
North Dakota State University-Main Campus(In-State),instate,,engineering,750000,80400
Florida Agricultural and Mechanical University(In-State),instate,,engineering,749000,81900
Arkansas State University-Main Campus(Out-of-State),outofstate,,engineering,748000,109000
University of California-Irvine(Out-of-State),outofstate,,engineering,748000,224000
California State University-Los Angeles(In-State),instate,,engineering,747000,93100
University of Florida(Out-of-State),outofstate,,engineering,747000,171000
San Francisco State University(In-State),instate,,engineering,746000,97900
Saginaw Valley State University(Out-of-State),outofstate,,engineering,745000,128000
Lawrence Technological University(Private),private,,engineering,744000,180000
University of Nevada-Las Vegas(In-State),instate,,engineering,744000,89700
Utah State University(In-State),instate,,engineering,744000,74000
University of Missouri-Kansas City(Out-of-State),outofstate,,engineering,743000,143000
Northern Illinois University(Out-of-State),outofstate,,engineering,742000,152000
The University of Texas Rio Grande Valley(In-State),instate,,engineering,742000,72200
West Virginia University(Out-of-State),outofstate,,engineering,742000,135000
California State University-Long Beach(Out-of-State),outofstate,,engineering,741000,136000
Ohio State University-Main Campus(Out-of-State),outofstate,,engineering,741000,170000
University of Arkansas(In-State),instate,,engineering,741000,93100
Western Washington University(Out-of-State),outofstate,,engineering,740000,140000
Case Western Reserve University(Private),private,,engineering,739000,242000
Kansas State University(Out-of-State),outofstate,,engineering,739000,145000
The University of West Florida(Out-of-State),outofstate,,engineering,738000,130000
Tuskegee University(Private),private,,engineering,738000,140000
Weber State University(Out-of-State),outofstate,,engineering,738000,110000
CUNY City College(In-State),instate,,engineering,736000,111000
West Virginia University Institute of Technology(In-State),instate,,engineering,736000,74700
Central Connecticut State University(In-State),instate,,engineering,735000,97300
Washington State University(Out-of-State),outofstate,,engineering,735000,165000
California State University-Fresno(In-State),instate,,engineering,734000,80800
Lehigh University(Private),private,,engineering,734000,240000
Mississippi State University(In-State),instate,,engineering,734000,90800
California State University-Fullerton(In-State),instate,,engineering,732000,100000
Missouri University of Science and Technology(Out-of-State),outofstate,,engineering,731000,149000
University of Missouri-Columbia(Out-of-State),outofstate,,engineering,731000,158000
University of Illinois at Chicago(Out-of-State),outofstate,,engineering,730000,169000
University of North Dakota(Out-of-State),outofstate,,engineering,730000,126000
Winona State University(Out-of-State),outofstate,,engineering,729000,107000
Purdue University-Calumet Campus(Out-of-State),outofstate,,engineering,727000,121000
Southern University and A & M College(Out-of-State),outofstate,,engineering,727000,104000
University of Nebraska-Lincoln(Out-of-State),outofstate,,engineering,727000,149000
University of New Mexico-Main Campus(Out-of-State),outofstate,,engineering,727000,139000
University of Iowa(Out-of-State),outofstate,,engineering,726000,163000
The College of New Jersey(Out-of-State),outofstate,,engineering,725000,170000
University of Kansas(Out-of-State),outofstate,,engineering,725000,158000
University of Colorado Colorado Springs(In-State),instate,,engineering,724000,91000
Indiana Institute of Technology(Private),private,,engineering,723000,152000
SUNY at Binghamton(Out-of-State),outofstate,,engineering,723000,146000
Pittsburg State University(Out-of-State),outofstate,,engineering,722000,114000
New Jersey Institute of Technology(Out-of-State),outofstate,,engineering,721000,190000
University of Cincinnati-Main Campus(Out-of-State),outofstate,,engineering,720000,172000
Central Michigan University(Out-of-State),outofstate,,engineering,719000,139000
University of Massachusetts-Dartmouth(In-State),instate,,engineering,719000,107000
Indiana University-Purdue University-Indianapolis(Out-of-State),outofstate,,engineering,718000,172000
Oregon State University(Out-of-State),outofstate,,engineering,717000,170000
The University of Texas at San Antonio(In-State),instate,,engineering,717000,85500
New York Institute of Technology(Private),private,,engineering,716000,207000
Oregon Institute of Technology(In-State),instate,,engineering,715000,90000
Temple University(Out-of-State),outofstate,,engineering,715000,166000
Wayne State University(Out-of-State),outofstate,,engineering,715000,151000
Citadel Military College of South Carolina(In-State),instate,,engineering,713000,107000
Lafayette College(Private),private,,engineering,713000,251000
Florida Atlantic University(In-State),instate,,engineering,712000,88400
Indiana University-Purdue University-Fort Wayne(In-State),instate,,engineering,712000,88500
Michigan Technological University(In-State),instate,,engineering,712000,109000
Western Michigan University(In-State),instate,,engineering,712000,93000
Old Dominion University(In-State),instate,,engineering,711000,94000
University of Hartford(Private),private,,engineering,711000,201000
University of Nevada-Reno(In-State),instate,,engineering,710000,91500
CUNY City College(Out-of-State),outofstate,,engineering,709000,138000
Lake Superior State University(In-State),instate,,engineering,709000,89900
South Dakota School of Mines and Technology(In-State),instate,,engineering,709000,93500
The University of Alabama(Out-of-State),outofstate,,engineering,709000,173000
The University of Texas at El Paso(In-State),instate,,engineering,709000,86000
University of California-Riverside(Out-of-State),outofstate,,engineering,709000,230000
Virginia Commonwealth University(Out-of-State),outofstate,,engineering,709000,191000
Drexel University(Private),private,,engineering,707000,267000
Minnesota State University-Mankato(In-State),instate,,engineering,707000,74900
Montana State University(Out-of-State),outofstate,,engineering,707000,140000
Michigan State University(Out-of-State),outofstate,,engineering,706000,193000
University of Idaho(Out-of-State),outofstate,,engineering,706000,136000
North Dakota State University-Main Campus(Out-of-State),outofstate,,engineering,705000,125000
The University of Texas Rio Grande Valley(Out-of-State),outofstate,,engineering,705000,109000
University of North Texas(In-State),instate,,engineering,705000,86400
University of Wisconsin-Milwaukee(In-State),instate,,engineering,705000,91600
Messiah College(Private),private,,engineering,704000,179000
Tennessee State University(Out-of-State),outofstate,,engineering,704000,127000
University of Miami(Private),private,,engineering,704000,250000
University of Mississippi(In-State),instate,,engineering,704000,92100
California State University-Los Angeles(Out-of-State),outofstate,,engineering,703000,138000
Baylor University(Private),private,,engineering,702000,224000
San Francisco State University(Out-of-State),outofstate,,engineering,702000,143000
Eastern Michigan University(Out-of-State),outofstate,,engineering,701000,154000
Florida Agricultural and Mechanical University(Out-of-State),outofstate,,engineering,701000,130000
Northern Arizona University(Out-of-State),outofstate,,engineering,701000,151000
Pennsylvania State University-Main Campus(Out-of-State),outofstate,,engineering,701000,193000
University of Rochester(Private),private,,engineering,701000,258000
Colorado State University-Fort Collins(Out-of-State),outofstate,,engineering,700000,162000
Florida International University(In-State),instate,,engineering,699000,92800
Humboldt State University(In-State),instate,,engineering,699000,92700
Miami University-Oxford(In-State),instate,,engineering,699000,119000
Rochester Institute of Technology(Private),private,,engineering,699000,201000
University of South Florida-Main Campus(In-State),instate,,engineering,699000,84200
West Virginia University Institute of Technology(Out-of-State),outofstate,,engineering,699000,112000
University of Memphis(In-State),instate,,engineering,697000,95800
Florida State University(Out-of-State),outofstate,,engineering,696000,148000
Ohio University-Main Campus(In-State),instate,,engineering,696000,102000
Clarkson University(Private),private,,engineering,695000,244000
University of Rhode Island(Out-of-State),outofstate,,engineering,695000,174000
Utah State University(Out-of-State),outofstate,,engineering,695000,123000
Farmingdale State College(In-State),instate,,engineering,694000,92400
Lake Superior State University(Out-of-State),outofstate,,engineering,694000,105000
South Dakota School of Mines and Technology(Out-of-State),outofstate,,engineering,694000,108000
University at Buffalo(In-State),instate,,engineering,694000,99400
University of Louisville(Out-of-State),outofstate,,engineering,694000,156000
The University of Tennessee-Chattanooga(In-State),instate,,engineering,693000,87400
University of South Carolina-Columbia(In-State),instate,,engineering,692000,103000
Wright State University-Main Campus(In-State),instate,,engineering,692000,92000
University of Wisconsin-Platteville(In-State),instate,,engineering,691000,73300
California State University-Fresno(Out-of-State),outofstate,,engineering,690000,125000
Grand Valley State University(In-State),instate,,engineering,690000,89300
North Carolina State University at Raleigh(Out-of-State),outofstate,,engineering,690000,153000
University of Arkansas(Out-of-State),outofstate,,engineering,690000,144000
University of Central Florida(Out-of-State),outofstate,,engineering,690000,151000
Portland State University(Out-of-State),outofstate,,engineering,689000,158000
University of Vermont(In-State),instate,,engineering,689000,122000
Illinois Institute of Technology(Private),private,,engineering,688000,236000
University of Alabama at Birmingham(In-State),instate,,engineering,688000,97400
University of Nevada-Las Vegas(Out-of-State),outofstate,,engineering,688000,145000
California State University-Fullerton(Out-of-State),outofstate,,engineering,687000,145000
Mississippi State University(Out-of-State),outofstate,,engineering,687000,138000
University of Kentucky(In-State),instate,,engineering,687000,104000
Central Connecticut State University(Out-of-State),outofstate,,engineering,686000,146000
University of Colorado Boulder(Out-of-State),outofstate,,engineering,686000,210000
Clemson University(Out-of-State),outofstate,,engineering,685000,188000
The University of Tennessee-Knoxville(Out-of-State),outofstate,,engineering,683000,191000
University of New Hampshire-Main Campus(In-State),instate,,engineering,683000,125000
University of Colorado Colorado Springs(Out-of-State),outofstate,,engineering,682000,133000
Virginia Military Institute(Out-of-State),outofstate,,engineering,681000,201000
Auburn University(Out-of-State),outofstate,,engineering,680000,184000
The University of Texas at San Antonio(Out-of-State),outofstate,,engineering,679000,123000
George Washington University(Private),private,,engineering,678000,257000
Minnesota State University-Mankato(Out-of-State),outofstate,,engineering,677000,105000
University of Denver(Private),private,,engineering,677000,236000
Western New England University(Private),private,,engineering,676000,200000
Boise State University(In-State),instate,,engineering,674000,80500
Washington University in St Louis(Private),private,,engineering,673000,266000
University of Hawaii at Manoa(In-State),instate,,engineering,672000,107000
Grand Valley State University(Out-of-State),outofstate,,engineering,671000,108000
University of North Florida(In-State),instate,,engineering,669000,84000
University of North Texas(Out-of-State),outofstate,,engineering,669000,123000
Geneva College(Private),private,,engineering,668000,148000
Indiana University-Purdue University-Fort Wayne(Out-of-State),outofstate,,engineering,668000,132000
Idaho State University(In-State),instate,,engineering,667000,83500
University of Massachusetts-Dartmouth(Out-of-State),outofstate,,engineering,666000,160000
Florida Institute of Technology(Private),private,,engineering,665000,223000
University of Wisconsin-Milwaukee(Out-of-State),outofstate,,engineering,665000,132000
Howard University(Private),private,,engineering,664000,169000
University of Arkansas at Little Rock(In-State),instate,,engineering,664000,90800
Gonzaga University(Private),private,,engineering,663000,208000
University of Maine(In-State),instate,,engineering,663000,94200
Embry-Riddle Aeronautical University-Daytona Beach(Private),private,,engineering,662000,194000
Florida Atlantic University(Out-of-State),outofstate,,engineering,662000,138000
Tennessee Technological University(In-State),instate,,engineering,661000,96900
The University of Texas at El Paso(Out-of-State),outofstate,,engineering,661000,134000
Cleveland State University(In-State),instate,,engineering,660000,103000
Pennsylvania State University-Penn State Harrisburg(In-State),instate,,engineering,660000,127000
University of Wisconsin-Platteville(Out-of-State),outofstate,,engineering,660000,104000
Ohio University-Main Campus(Out-of-State),outofstate,,engineering,659000,139000
Wright State University-Main Campus(Out-of-State),outofstate,,engineering,659000,125000
Pennsylvania State University-Penn State Erie-Behrend College(In-State),instate,,engineering,657000,127000
University of South Florida-Main Campus(Out-of-State),outofstate,,engineering,656000,128000
Farmingdale State College(Out-of-State),outofstate,,engineering,655000,131000
Humboldt State University(Out-of-State),outofstate,,engineering,655000,137000
University of Mississippi(Out-of-State),outofstate,,engineering,654000,143000
University of Nevada-Reno(Out-of-State),outofstate,,engineering,654000,147000
Western Michigan University(Out-of-State),outofstate,,engineering,654000,151000
Oregon Institute of Technology(Out-of-State),outofstate,,engineering,652000,153000
University of Southern Mississippi(In-State),instate,,engineering,650000,82900
Florida International University(Out-of-State),outofstate,,engineering,649000,142000
Michigan Technological University(Out-of-State),outofstate,,engineering,649000,172000
Milwaukee School of Engineering(Private),private,,engineering,649000,193000
University of Alabama at Birmingham(Out-of-State),outofstate,,engineering,649000,136000
Loyola Marymount University(Private),private,,engineering,648000,239000
Trine University(Private),private,,engineering,648000,187000
University of Memphis(Out-of-State),outofstate,,engineering,647000,146000
Cleveland State University(Out-of-State),outofstate,,engineering,646000,117000
Old Dominion University(Out-of-State),outofstate,,engineering,645000,160000
University of Toledo(In-State),instate,,engineering,645000,98100
University of Akron Main Campus(In-State),instate,,engineering,644000,99000
Youngstown State University(In-State),instate,,engineering,643000,86300
Southern Illinois University-Carbondale(In-State),instate,,engineering,642000,106000
Youngstown State University(Out-of-State),outofstate,,engineering,642000,87300
Southern Illinois University-Edwardsville(In-State),instate,,engineering,641000,93500
