major,college_name,college_type,financial_aid,roi,total_cost
art,University of Maine(In-State),instate,1.0,173000,94200
art,State University of New York at New Paltz(In-State),instate,1.0,172000,89800
art,University of California-Santa Barbara(Out-of-State),outofstate,1.0,172000,236000
art,University of Idaho(In-State),instate,1.0,172000,80200
art,Arizona State University-Tempe(Out-of-State),outofstate,1.0,171000,160000
art,University of Iowa(In-State),instate,1.0,171000,84400
art,University of Massachusetts-Dartmouth(In-State),instate,1.0,171000,107000
art,Florida Agricultural and Mechanical University(In-State),instate,1.0,170000,81900
art,Montclair State University(Out-of-State),outofstate,1.0,170000,149000
art,Abilene Christian University(Private),private,1.0,169000,176000
art,Plymouth State University(In-State),instate,1.0,168000,109000
art,Wayne State University(In-State),instate,1.0,167000,97900
art,Georgia State University(In-State),instate,1.0,166000,103000
art,Iowa State University(Out-of-State),outofstate,1.0,166000,129000
art,University of California-Riverside(In-State),instate,1.0,166000,133000
art,Marymount Manhattan College(Private),private,1.0,165000,206000
art,North Dakota State University-Main Campus(In-State),instate,1.0,165000,80400
art,West Virginia University(In-State),instate,1.0,164000,80500
art,Point Loma Nazarene University(Private),private,1.0,163000,186000
art,Texas Tech University(In-State),instate,1.0,162000,89700
art,Lesley University(Private),private,1.0,161000,180000
art,The University of Texas at Austin(Out-of-State),outofstate,1.0,161000,203000
art,University of North Carolina at Chapel Hill(Out-of-State),outofstate,1.0,161000,196000
art,Oregon State University(In-State),instate,1.0,160000,101000
art,Milwaukee Institute of Art & Design(Private),private,1.0,159000,180000
art,Auburn University(In-State),instate,1.0,158000,115000
art,Central Connecticut State University(Out-of-State),outofstate,1.0,158000,146000
art,Ferris State University(In-State),instate,1.0,158000,89600
art,Central Washington University(In-State),instate,1.0,157000,90500
art,University at Buffalo(In-State),instate,1.0,157000,99400
art,University of Houston(In-State),instate,1.0,157000,94000
art,Western Michigan University(In-State),instate,1.0,157000,93000
art,Western Illinois University(In-State),instate,1.0,156000,101000
art,CUNY City College(Out-of-State),outofstate,1.0,155000,138000
art,Keene State College(In-State),instate,1.0,155000,103000
art,SUNY Oneonta(In-State),instate,1.0,155000,90600
art,Oklahoma Christian University(Private),private,1.0,154000,125000
art,SUNY at Albany(Out-of-State),outofstate,1.0,154000,145000
art,West Chester University of Pennsylvania(In-State),instate,1.0,154000,104000
art,Marymount University(Private),private,1.0,152000,177000
art,Ramapo College of New Jersey(Out-of-State),outofstate,1.0,152000,154000
art,Saint Cloud State University(Out-of-State),outofstate,1.0,151000,109000
art,Baylor University(Private),private,1.0,150000,224000
art,New Jersey City University(In-State),instate,1.0,150000,111000
art,Ohio University-Main Campus(In-State),instate,1.0,150000,102000
art,University of Connecticut(Out-of-State),outofstate,1.0,150000,197000
art,University of Hartford(Private),private,1.0,150000,201000
art,San Francisco Art Institute(Private),private,1.0,149000,251000
art,University of Rhode Island(In-State),instate,1.0,149000,111000
