state_name,college_name,college_type,roi,total_cost,grad_rate,yrs2grad,financial_aid,loan_amt,perc_grant
ARIZONA,Arizona State University-Tempe(Out-of-State),outofstate,346000,160000,67,4,0.0,N/A,N/A
ARIZONA,Northern Arizona University(In-State),instate,254000,99400,53,4,0.0,N/A,N/A
ARIZONA,Northern Arizona University(Out-of-State),outofstate,203000,151000,53,4,0.0,N/A,N/A
ARIZONA,Prescott College(Private),private,-11900,161000,31,4,0.0,N/A,N/A
ARKANSAS,University of Arkansas(In-State),instate,400000,93100,64,4,1.0,28700,19
ARKANSAS,University of Arkansas(Out-of-State),outofstate,349000,144000,64,4,1.0,28700,19
ARKANSAS,John Brown University(Private),private,269000,145000,65,4,1.0,27600,34
ARKANSAS,University of Arkansas at Little Rock(In-State),instate,238000,90800,30,6,1.0,22100,57
ARKANSAS,Hendrix College(Private),private,228000,221000,69,4,1.0,27300,26
ARKANSAS,Harding University(Private),private,223000,112000,64,4,1.0,29000,25
ARKANSAS,Arkansas State University-Main Campus(In-State),instate,217000,85200,45,5,1.0,22700,46
ARKANSAS,University of Arkansas-Fort Smith(In-State),instate,217000,68800,26,5,1.0,15600,62
ARKANSAS,Ouachita Baptist University(Private),private,213000,137000,70,4,1.0,25800,30
ARKANSAS,University of Central Arkansas(In-State),instate,211000,80400,42,5,1.0,30400,48
ARKANSAS,Arkansas Tech University(In-State),instate,209000,69000,35,5,1.0,23800,55
ARKANSAS,University of Arkansas at Little Rock(Out-of-State),outofstate,196000,133000,30,6,1.0,22100,57
ARKANSAS,Arkansas State University-Main Campus(Out-of-State),outofstate,193000,109000,45,5,1.0,22700,46
ARKANSAS,University of Arkansas-Fort Smith(Out-of-State),outofstate,193000,93100,26,5,1.0,15600,62
ARKANSAS,Arkansas Tech University(Out-of-State),outofstate,189000,89200,35,5,1.0,23800,55
ARKANSAS,University of Central Arkansas(Out-of-State),outofstate,188000,104000,42,5,1.0,30400,48
ARKANSAS,University of Arkansas at Monticello(In-State),instate,162000,69000,22,5,1.0,20700,71
